city,state_id,state,county_name,lat,lng,population,density
Soudersburg,PA,Pennsylvania,Lancaster,40.0151,-76.1529,806,273
Faith,NC,North Carolina,Rowan,35.59,-80.4581,806,289
Burr Oak,MI,Michigan,St. Joseph,41.8472,-85.3212,806,309
Correctionville,IA,Iowa,Woodbury,42.4774,-95.783,806,517
Colver,PA,Pennsylvania,Cambria,40.5426,-78.7891,806,246
South Webster,OH,Ohio,Scioto,38.817,-82.7282,805,236
Joaquin,TX,Texas,Shelby,31.9659,-94.0504,805,132
Aguanga,CA,California,Riverside,33.4522,-116.8555,805,22
Dollar Point,CA,California,Placer,39.1905,-120.1089,805,190
Limestone,OK,Oklahoma,Rogers,36.3143,-95.7477,805,98
Junction City,OH,Ohio,Perry,39.7218,-82.2997,805,483
Wellington,MO,Missouri,Lafayette,39.1383,-93.9861,805,285
Harrison,IL,Illinois,Jackson,37.7982,-89.3361,805,151
Earlville,NY,New York,Madison,42.7401,-75.5436,805,287
Lakes of the North,MI,Michigan,Antrim,44.9361,-84.8845,805,18
Pahoa,HI,Hawaii,Hawaii,19.4961,-154.9454,805,142
Davidsville,PA,Pennsylvania,Somerset,40.2348,-78.9356,805,134
Scotland,SD,South Dakota,Bon Homme,43.1481,-97.7199,804,346
Livingston,IL,Illinois,Madison,38.9682,-89.7642,804,291
Orrick,MO,Missouri,Ray,39.2133,-94.1254,804,232
Menan,"ID",Idaho,Jefferson,43.7218,-111.9925,804,300
Beatty,NV,Nevada,Nye,36.9352,-116.7025,804,1
Lewisburg,KY,Kentucky,Logan,36.9872,-86.9502,804,267
Mountainaire,AZ,Arizona,Coconino,35.0921,-111.6493,804,30
Hills,IA,Iowa,Johnson,41.5569,-91.536,804,411
Carolina,RI,Rhode Island,Washington,41.4625,-71.6585,803,125
Saltsburg,PA,Pennsylvania,Indiana,40.4848,-79.448,803,1498
Resaca,GA,Georgia,Gordon,34.5789,-84.944,803,112
Key Colony Beach,FL,Florida,Monroe,24.7233,-81.0215,803,704
West Middlesex,PA,Pennsylvania,Mercer,41.1742,-80.4557,803,366
Arapaho,OK,Oklahoma,Custer,35.5779,-98.9593,803,443
San Ildefonso Pueblo,NM,New Mexico,Santa Fe,35.8955,-106.1225,803,70
Parker,PA,Pennsylvania,Armstrong,41.0907,-79.6846,802,323
Bethany,WV,West Virginia,Brooke,40.2053,-80.5629,802,422
Piedmont,WV,West Virginia,Mineral,39.4778,-79.0466,802,812
Stamping Ground,KY,Kentucky,Scott,38.2697,-84.6831,802,526
Morse,LA,Louisiana,Acadia,30.1221,-92.4985,802,221
Flordell Hills,MO,Missouri,St. Louis,38.7174,-90.2648,802,2526
Shrewsbury,WV,West Virginia,Kanawha,38.2079,-81.4675,802,1075
Paragon Estates,CO,Colorado,Boulder,39.9802,-105.1812,802,184
Hubbard,IA,Iowa,Hardin,42.3055,-93.3019,801,182
Metolius,OR,Oregon,Jefferson,44.5875,-121.176,801,646
Mount Hope,KS,Kansas,Sedgwick,37.8735,-97.6619,801,210
Sonoita,AZ,Arizona,Santa Cruz,31.6645,-110.6426,801,29
Dawson,TX,Texas,Navarro,31.8941,-96.7151,801,173
Dauphin,PA,Pennsylvania,Dauphin,40.3684,-76.9296,801,722
Flint Creek,OK,Oklahoma,Delaware,36.1765,-94.7436,801,48
Wiconsico,PA,Pennsylvania,Dauphin,40.5742,-76.6773,801,283
Granite,UT,Utah,Salt Lake,40.5711,-111.7959,801,257
Ogden,IL,Illinois,Champaign,40.115,-87.9563,800,527
Deer Trail,CO,Colorado,Arapahoe,39.6157,-104.0435,800,273
Kansas,OK,Oklahoma,Delaware,36.2058,-94.789,800,166
Pineland,TX,Texas,Sabine,31.2467,-93.9744,800,150
Lakeville,NY,New York,Livingston,42.8367,-77.7032,800,462
Diamond City,AR,Arkansas,Boone,36.4575,-92.9129,800,109
Grassflat,PA,Pennsylvania,Clearfield,41.0031,-78.1113,800,273
Freelandville,IN,Indiana,Knox,38.8653,-87.3102,800,55
East Sparta,OH,Ohio,Stark,40.6635,-81.3643,799,169
Lyons,NE,Nebraska,Burt,41.936,-96.4717,799,451
Rutledge,PA,Pennsylvania,Delaware,39.901,-75.3274,799,2157
Scribner,NE,Nebraska,Dodge,41.665,-96.6653,799,482
Vassar,KS,Kansas,Osage,38.6495,-95.6114,799,63
West Union,WV,West Virginia,Doddridge,39.2963,-80.7751,799,856
